id,name,name_length,menus_appeared,times_appeared,first_appeared,last_appeared,lowest_price,highest_price
992,Blackberry Brandy,17,133,134,1882,1985,0,3
993,Vermouth,8,310,317,1858,1989,0,20
1001,Gilka Kummel,12,41,42,1900,1962,0.15,15
1002,Rhine Wine,10,87,92,1892,1963,0.1,4
1003,Port Wine,9,52,54,1892,1958,0.1,3.5
1006,Claret,6,257,270,1866,1974,0,40
1007,Milk Punch,10,110,111,1856,1962,0,15
1008,Milk Punch with egg,19,10,11,1900,1944,0.15,0.65
1010,Claret Punch,12,149,150,1856,1962,0,15
1012,Manhattan Cocktail,18,188,197,1899,1968,0,1.25
1015,Whiskey Cocktail,16,38,40,1856,1938,0,1.25
1017,Broiled Sirloin Steak,21,89,98,1880,1983,0.6,60
1023,Soups,5,93,93,1898,1987,0.05,1.65
1024,Fish,4,101,102,1851,1985,0,2.25
1027,Erdbeeren,9,19,19,1899,1959,0,0.75
1028,Potato Cake,11,10,10,1900,1980,0,0
1029,Entrees,7,68,72,1897,2006,,
1034,Anchovies on Toast,18,99,100,1892,1957,0.2,40
1035,Obst,4,177,177,1888,1938,,
1037,Caviar on Toast,15,135,138,1890,1940,0,35
1039,"Hamburger Steak, Onion Sauce",28,4,4,1901,1917,0.15,0.2
1040,Lyon Sausage,12,183,193,1886,1955,0.2,30
1044,porridge,8,56,63,1892,1987,0,20
1047,Roast capon,11,99,99,1880,1939,0.75,6
1049,Lettuce Salad,13,1568,1683,1881,1974,0,40
1050,Tutti-frutti ice cream,22,74,75,1892,1971,0.15,25
1052,Dessert,7,772,818,1864,2928,0,40
1053,Roastbeef,9,191,242,1891,1987,0,45
1064,Sweet Pickles,13,597,628,1890,1965,0,20
1066,G. H. Mumm's Extra Dry,22,121,121,1881,1973,1.6,30.75
1067,Grilled chicken,15,39,40,1899,1921,1.25,2.5
1068,Piper Heidsieck,15,87,87,1881,1967,0,25
1074,Delmonico steak,15,17,17,1901,1940,0.5,55
1080,Julienne,8,179,198,1882,1961,0.1,35
1086,Bermuda potatoes,16,254,255,1882,1938,0.1,30
1088,New asparagus,13,143,150,1889,1948,0,50
1090,Smoked Westphalian ham,22,46,46,1899,1965,,
1092,Fry in butter,13,11,12,1900,1918,0.35,0.6
1094,Neapolitan Ice,14,7,7,1900,1954,0.35,0.35
1098,Creamed toast,13,13,13,1900,1939,0.15,0.35
1099,Ham,3,1250,1338,1851,2928,0,95
1101,Peas,4,257,267,1858,1969,0,1.7
1104,Tomato,6,368,433,1892,1987,0,40
1105,Watercress,10,360,365,1891,2928,0.1,30
1106,Cheddar,7,58,62,1881,1973,0,1
1110,Jerez,5,5,5,1900,1955,0,2
1112,Madeira,7,92,96,1882,1987,0,3.5
1114,Oporto,6,25,27,1883,1918,0,11.25
1117,Scallops,8,66,66,1894,1939,0.25,1.25
1119,Lemonade,8,464,471,1885,1998,0,12
1120,Soda Water,10,127,127,1883,1967,0,0.6
1121,Anchovy Salad,13,286,294,1892,1950,0,60
1124,Ginger Beer,11,20,22,1900,1987,0,1
1125,Ginger Ale,10,468,486,1873,1990,0,25
1126,New Dill Pickles,16,52,53,1900,1985,0.05,0.5
